asset_id,date,vibration_mm_s,temperature_c,current_a,hours_since_maintenance,asset_age_days,failure_within_7d
A002,2025-02-17,3.616,55.86,51.47,1273,378,0
A002,2025-02-18,3.465,61.44,50.7,814,378,0
A002,2025-02-19,3.338,60.66,50.2,1683,378,0
A002,2025-02-20,3.052,55.0,47.4,99,378,0
A002,2025-02-21,3.414,57.68,49.86,1376,378,0
A002,2025-02-22,2.773,55.29,50.98,264,378,0
A002,2025-02-23,2.853,56.2,49.29,1889,378,0
A002,2025-02-24,3.479,53.27,53.3,1592,378,0
A002,2025-02-25,4.104,58.21,50.98,1201,378,0
A002,2025-02-26,3.292,57.39,53.81,1119,378,0
A002,2025-02-27,3.684,53.49,50.81,284,378,0
A002,2025-02-28,3.464,56.32,47.76,1329,378,0
A002,2025-03-01,3.024,55.16,51.48,1720,378,0
A002,2025-03-02,3.255,56.96,46.07,900,378,0
A002,2025-03-03,3.569,53.95,49.9,784,378,0
A002,2025-03-04,3.704,57.3,44.43,892,378,0
A002,2025-03-05,2.412,56.94,47.58,1499,378,0
A002,2025-03-06,3.523,57.14,56.8,1031,378,0
A002,2025-03-07,3.375,56.03,51.96,1724,378,0
A002,2025-03-08,2.608,55.5,49.32,1844,378,0
A002,2025-03-09,3.485,54.26,56.3,859,378,0
A002,2025-03-10,3.28,53.12,58.19,643,378,0
A002,2025-03-11,3.605,56.22,52.81,115,378,0
A002,2025-03-12,3.254,55.28,45.5,1274,378,0
A002,2025-03-13,3.37,58.07,47.89,430,378,0
A002,2025-03-14,3.554,59.93,51.73,657,378,0
A002,2025-03-15,3.88,54.68,47.65,1261,378,0
A002,2025-03-16,3.706,59.53,49.4,211,378,0
A002,2025-03-17,2.468,53.17,45.41,1420,378,0
A002,2025-03-18,3.545,58.33,53.11,44,378,0
A002,2025-03-19,3.651,58.51,50.56,1725,378,0
A002,2025-03-20,3.52,58.73,50.45,1560,378,0
A002,2025-03-21,3.691,54.71,53.05,198,378,0
A002,2025-03-22,3.122,61.62,51.81,1940,378,0
A002,2025-03-23,3.108,61.11,53.9,951,378,0
A002,2025-03-24,3.127,58.37,54.92,310,378,0
A002,2025-03-25,2.549,59.53,46.9,1728,378,0
A002,2025-03-26,3.199,56.04,49.98,736,378,0
A002,2025-03-27,3.032,62.68,49.28,1531,378,0
A002,2025-03-28,2.563,60.3,50.02,693,378,0
A002,2025-03-29,3.496,58.53,48.51,868,378,0
A002,2025-03-30,3.687,56.81,56.88,17,378,0
A002,2025-03-31,3.881,57.21,53.64,748,378,0
A002,2025-04-01,3.459,57.78,51.88,1421,378,0
A003,2025-02-01,3.194,56.64,47.72,976,752,0
A003,2025-02-02,3.768,61.26,54.13,697,752,0
A003,2025-02-03,3.725,63.85,49.98,1324,752,0
A003,2025-02-04,3.421,59.32,50.24,1195,752,0
A003,2025-02-05,3.974,59.62,47.61,1614,752,1
A003,2025-02-06,3.628,59.25,55.0,409,752,0
A003,2025-02-07,3.986,57.79,56.03,1473,752,0
A003,2025-02-08,3.78,56.72,48.47,1816,752,0
A003,2025-02-09,4.184,56.27,50.5,274,752,0
A003,2025-02-10,3.79,60.09,51.8,1892,752,0
A003,2025-02-11,4.317,58.37,51.68,215,752,0
A003,2025-02-12,3.805,56.38,47.16,1770,752,0
A003,2025-02-13,3.068,58.61,45.46,699,752,0
A003,2025-02-14,3.75,60.65,53.47,435,752,0
A003,2025-02-15,4.304,56.25,50.62,626,752,0
A003,2025-02-16,3.724,63.08,53.87,1268,752,0
A003,2025-02-17,3.819,57.72,52.6,411,752,0
A003,2025-02-18,3.925,59.82,56.58,357,752,0
A003,2025-02-19,3.554,60.25,54.98,1963,752,0
A003,2025-02-20,3.319,54.75,47.15,267,752,0
A003,2025-02-21,3.676,60.33,58.23,1258,752,0
A003,2025-02-22,4.056,62.7,53.03,1225,752,0
A003,2025-02-23,3.558,61.09,55.27,332,752,0
A003,2025-02-24,2.857,58.97,52.08,593,752,0
A003,2025-02-25,3.388,59.79,50.12,1866,752,0
A003,2025-02-26,4.324,56.63,54.04,337,752,0
A003,2025-02-27,4.818,60.22,45.66,654,752,0
A003,2025-02-28,3.814,58.89,54.24,1585,752,0
A003,2025-03-01,3.445,57.88,52.4,450,752,0
A003,2025-03-02,3.373,54.62,54.48,1930,752,0
A003,2025-03-03,4.303,57.27,49.65,588,752,0
A003,2025-03-04,3.925,55.76,48.96,674,752,0
A003,2025-03-05,3.629,62.38,45.69,86,752,0
A003,2025-03-06,4.456,57.41,50.99,643,752,0
A003,2025-03-07,3.565,59.44,59.8,1398,752,0
A003,2025-03-08,3.484,56.09,49.87,1535,752,0
A003,2025-03-09,3.722,60.9,45.85,825,752,0
A003,2025-03-10,3.477,58.35,50.81,1047,752,0
A003,2025-03-11,3.34,60.58,55.13,1832,752,0
A003,2025-03-12,3.8,56.76,52.1,1360,752,0
A003,2025-03-13,3.304,55.33,52.42,1398,752,0
A003,2025-03-14,3.505,59.64,51.51,1259,752,0
A003,2025-03-15,3.802,57.59,54.21,1471,752,0
A003,2025-03-16,3.413,55.94,55.49,1834,752,0
A003,2025-03-17,3.755,59.37,56.67,1165,752,0
A003,2025-03-18,4.116,60.45,51.67,474,752,0
A003,2025-03-19,3.506,58.08,51.51,1245,752,0
A003,2025-03-20,3.734,58.54,50.68,406,752,0
A003,2025-03-21,2.967,59.42,55.3,1016,752,0
A003,2025-03-22,3.044,56.28,47.13,674,752,0
A003,2025-03-23,3.941,57.86,55.01,419,752,0
A003,2025-03-24,3.864,64.59,50.77,1622,752,0
A003,2025-03-25,3.771,55.59,62.28,661,752,0
A003,2025-03-26,3.932,59.01,47.13,1701,752,0
A003,2025-03-27,3.501,58.54,52.13,816,752,0
A003,2025-03-28,3.99,58.95,58.08,1472,752,0
A003,2025-03-29,3.895,56.39,51.65,1802,752,0
A003,2025-03-30,3.743,56.88,54.22,915,752,0
A003,2025-03-31,4.014,57.77,56.57,1532,752,0
A003,2025-04-01,3.843,58.43,56.61,110,752,0
A004,2025-02-01,4.567,66.27,47.99,1813,1780,0
A004,2025-02-02,4.448,62.06,47.55,1693,1780,0
A004,2025-02-03,5.312,67.69,52.52,1690,1780,0
A004,2025-02-04,4.321,60.5,53.71,1556,1780,0
A004,2025-02-05,4.76,63.1,50.93,1546,1780,0
A004,2025-02-06,3.862,65.14,54.28,1425,1780,0
A004,2025-02-07,4.441,61.97,52.04,281,1780,0
A004,2025-02-08,4.826,64.34,49.04,1387,1780,0
A004,2025-02-09,4.997,65.08,51.1,1443,1780,0
A004,2025-02-10,4.731,59.51,50.73,168,1780,0
A004,2025-02-11,4.409,64.17,58.67,1514,1780,0
A004,2025-02-12,4.654,65.29,52.57,603,1780,0
A004,2025-02-13,5.071,62.39,53.4,855,1780,0
A004,2025-02-14,3.664,64.91,61.46,784,1780,0
A004,2025-02-15,4.637,62.37,58.1,156,1780,0
A004,2025-02-16,4.879,59.68,54.19,1578,1780,0
A004,2025-02-17,4.574,69.23,49.02,1812,1780,0
A004,2025-02-18,4.79,66.1,57.58,1193,1780,0
A004,2025-02-19,4.943,64.44,54.05,220,1780,0
A004,2025-02-20,4.869,66.43,52.14,1622,1780,0
A004,2025-02-21,4.289,61.07,58.77,1338,1780,0
A004,2025-02-22,5.426,65.02,52.96,1204,1780,0
A004,2025-02-23,5.253,67.67,53.61,1575,1780,0
A004,2025-02-24,5.376,64.71,50.88,1381,1780,0
A004,2025-02-25,4.32,56.9,56.68,967,1780,0
A004,2025-02-26,4.686,61.62,54.37,148,1780,0
A004,2025-02-27,4.071,65.36,50.37,1786,1780,0
A004,2025-02-28,5.166,73.22,49.37,572,1780,0
A004,2025-03-01,4.558,62.95,53.88,415,1780,0
A004,2025-03-02,4.164,65.1,51.55,588,1780,0
A004,2025-03-03,4.291,61.63,54.11,1611,1780,0
A004,2025-03-04,4.192,62.4,50.66,691,1780,0
A004,2025-03-05,4.602,61.87,57.19,1351,1780,0
A004,2025-03-06,4.814,63.39,53.09,45,1780,0
A004,2025-03-07,5.106,66.17,54.25,461,1780,0
A004,2025-03-08,5.158,64.9,56.78,1288,1780,0
A004,2025-03-09,5.31,63.24,53.66,1310,1780,0
A004,2025-03-10,4.69,61.05,47.4,1271,1780,0
A004,2025-03-11,5.58,61.96,57.47,700,1780,0
A004,2025-03-12,4.72,62.86,51.51,909,1780,0
A004,2025-03-13,5.291,66.28,53.33,1401,1780,0
A004,2025-03-14,4.962,61.33,57.09,184,1780,0
A004,2025-03-15,4.584,62.45,52.67,1643,1780,0
A004,2025-03-16,4.318,67.87,53.02,1914,1780,0
A004,2025-03-17,4.703,65.04,48.53,856,1780,0
A004,2025-03-18,4.853,57.92,55.4,988,1780,1
A004,2025-03-19,4.51,62.49,55.41,1987,1780,0
A004,2025-03-20,5.216,65.82,53.54,1451,1780,0
A004,2025-03-21,4.244,67.83,54.26,290,1780,0
A004,2025-03-22,4.648,67.23,53.36,943,1780,0
A004,2025-03-23,4.5,67.36,51.79,607,1780,0
A004,2025-03-24,4.91,64.25,55.06,791,1780,0
A004,2025-03-25,4.893,66.04,53.07,227,1780,0
A004,2025-03-26,5.149,59.55,54.65,338,1780,0
A004,2025-03-27,5.141,60.61,55.0,357,1780,0
A004,2025-03-28,5.216,60.88,54.47,1857,1780,0
A004,2025-03-29,5.84,69.76,55.51,133,1780,0
A004,2025-03-30,4.44,67.48,54.27,841,1780,0
A004,2025-03-31,5.546,63.29,59.7,1571,1780,0
A004,2025-04-01,4.541,65.8,50.66,646,1780,0
A005,2025-02-01,3.357,59.72,48.33,1748,981,0
A005,2025-02-02,4.185,62.38,44.41,1599,981,0
A005,2025-02-03,4.572,61.3,52.44,1763,981,0
A005,2025-02-04,4.01,60.53,50.77,1527,981,0
A005,2025-02-05,4.157,57.75,53.87,1646,981,0
A005,2025-02-06,4.865,63.55,50.89,345,981,0
A005,2025-02-07,4.07,58.8,50.08,416,981,0
A005,2025-02-08,4.154,60.0,50.1,918,981,0
A005,2025-02-09,4.336,53.95,52.81,541,981,0
A005,2025-02-10,3.608,61.29,50.53,1284,981,0
A005,2025-02-11,4.608,58.31,56.7,270,981,0
A005,2025-02-12,4.529,58.36,48.36,921,981,0
A005,2025-02-13,4.034,59.64,48.9,1920,981,0
A005,2025-02-14,3.625,63.24,52.18,347,981,0
A005,2025-02-15,4.126,59.61,51.25,534,981,0
A005,2025-02-16,4.57,54.49,49.28,1141,981,0
A005,2025-02-17,3.36,62.22,56.58,1816,981,0
A005,2025-02-18,4.216,57.1,49.73,672,981,0
A005,2025-02-19,4.257,59.11,48.86,683,981,0
A005,2025-02-20,3.419,58.01,52.06,920,981,0
A005,2025-02-21,3.478,63.43,51.35,976,981,0
A005,2025-02-22,3.588,62.16,55.3,1342,981,0
A005,2025-02-23,3.388,58.78,49.37,1601,981,0
A005,2025-02-24,3.943,57.07,51.31,1722,981,0
A005,2025-02-25,3.937,54.53,51.29,709,981,0
A005,2025-02-26,4.451,62.37,51.56,1751,981,0
A005,2025-02-27,4.111,63.41,52.66,1777,981,0
A005,2025-02-28,3.789,60.78,54.04,1207,981,0
A005,2025-03-01,3.857,58.56,55.8,660,981,0
A005,2025-03-02,4.042,61.16,48.31,686,981,0
A005,2025-03-03,3.899,63.01,49.39,1025,981,0
A005,2025-03-04,4.39,63.83,56.37,1583,981,0
A005,2025-03-05,3.804,61.37,48.57,1359,981,0
A005,2025-03-06,4.229,61.39,57.93,1178,981,0
A005,2025-03-07,4.146,59.95,54.87,1503,981,0
A005,2025-03-08,3.914,58.29,48.09,161,981,0
A005,2025-03-09,3.638,64.52,49.04,698,981,0
A005,2025-03-10,4.516,57.73,55.0,73,981,0
A005,2025-03-11,4.182,58.63,55.85,1487,981,0
A005,2025-03-12,3.108,56.74,55.92,829,981,0
A005,2025-03-13,4.102,58.92,52.51,1040,981,0
A005,2025-03-14,3.811,57.97,52.9,901,981,0
A005,2025-03-15,3.37,63.79,51.49,83,981,0
A005,2025-03-16,4.116,58.73,51.55,1824,981,0
A005,2025-03-17,3.867,55.53,49.32,1287,981,0
A005,2025-03-18,4.368,60.74,55.72,520,981,0
A005,2025-03-19,4.004,55.87,48.02,646,981,0
A005,2025-03-20,4.426,59.71,45.95,1592,981,0
A005,2025-03-21,4.765,58.59,56.53,1052,981,0
A005,2025-03-22,4.692,58.41,55.5,179,981,0
A005,2025-03-23,4.863,62.51,53.29,1911,981,0
A005,2025-03-24,3.275,56.75,53.31,665,981,0
A005,2025-03-25,3.0,61.27,47.24,225,981,0
A005,2025-03-26,3.808,62.73,45.59,1535,981,0
A005,2025-03-27,3.856,60.44,54.68,694,981,0
A005,2025-03-28,4.492,64.66,52.57,50,981,0
A005,2025-03-29,4.79,56.93,51.78,1081,981,0
A005,2025-03-30,3.757,56.97,47.92,1564,981,0
A005,2025-03-31,4.365,58.98,51.29,1812,981,0
A005,2025-04-01,4.283,59.6,52.8,512,981,0
A006,2025-02-01,4.466,63.29,55.53,1733,1358,0
A006,2025-02-02,3.9,63.95,50.57,976,1358,0
A006,2025-02-03,4.559,65.69,52.78,1006,1358,0
A006,2025-02-04,4.278,65.04,54.73,1833,1358,0
A006,2025-02-05,3.903,61.8,54.1,26,1358,0
A006,2025-02-06,3.71,61.48,52.46,948,1358,0
A006,2025-02-07,3.978,60.35,56.32,1540,1358,0
A006,2025-02-08,4.348,59.43,50.84,1218,1358,0
A006,2025-02-09,4.396,63.78,55.6,621,1358,0
A006,2025-02-10,3.847,60.18,53.23,886,1358,0
A006,2025-02-11,4.146,57.69,51.26,1000,1358,0
A006,2025-02-12,4.454,58.45,56.76,390,1358,0
A006,2025-02-13,4.146,60.55,55.04,42,1358,0
A006,2025-02-14,4.576,58.03,49.24,735,1358,0
A006,2025-02-15,4.482,57.42,53.71,1724,1358,0
A006,2025-02-16,4.27,60.26,52.22,1886,1358,0
A006,2025-02-17,3.581,63.34,52.92,906,1358,0
A006,2025-02-18,4.91,60.53,54.45,954,1358,0
A006,2025-02-19,4.026,62.11,51.83,1979,1358,0
A006,2025-02-20,4.975,60.32,53.23,216,1358,0
A006,2025-02-21,4.318,63.37,51.29,1428,1358,0
A006,2025-02-22,4.451,62.2,57.42,528,1358,0
A006,2025-02-23,4.104,62.92,51.52,1761,1358,0
A006,2025-02-24,4.245,60.07,53.5,1781,1358,0
A006,2025-02-25,4.042,63.61,48.28,1767,1358,0
A006,2025-02-26,4.446,63.3,53.12,1349,1358,0
A006,2025-02-27,3.783,66.41,56.78,1830,1358,0
A006,2025-02-28,4.476,58.85,48.52,1069,1358,0
A006,2025-03-01,4.843,60.69,53.4,1178,1358,0
A006,2025-03-02,3.893,65.5,51.93,513,1358,0
A006,2025-03-03,4.108,57.96,58.3,1308,1358,0
A006,2025-03-04,3.792,62.46,52.92,348,1358,0
A006,2025-03-05,4.267,61.02,55.32,898,1358,0
A006,2025-03-06,4.855,60.32,51.83,850,1358,0
A006,2025-03-07,4.67,57.95,52.15,232,1358,0
A006,2025-03-08,4.79,65.21,50.09,302,1358,0
A006,2025-03-09,4.918,62.53,51.84,1711,1358,0
A006,2025-03-10,4.491,62.31,49.34,1024,1358,0
A006,2025-03-11,4.396,59.02,54.02,383,1358,0
A006,2025-03-12,3.989,62.98,53.04,271,1358,0
A006,2025-03-13,4.474,61.2,54.61,1163,1358,0
A006,2025-03-14,4.244,62.12,51.02,781,1358,0
A006,2025-03-15,4.925,59.66,47.37,1453,1358,0
A006,2025-03-16,4.718,63.62,50.91,728,1358,0
A006,2025-03-17,4.943,61.06,56.91,890,1358,0
A006,2025-03-18,3.673,61.5,48.51,1081,1358,0
A006,2025-03-19,4.019,64.78,53.74,442,1358,0
A006,2025-03-20,4.081,61.27,55.64,1300,1358,0
A006,2025-03-21,4.413,58.88,52.42,1924,1358,0
A006,2025-03-22,4.55,61.27,54.04,1828,1358,0
A006,2025-03-23,4.369,57.48,50.25,1561,1358,0
A006,2025-03-24,4.867,57.97,54.6,364,1358,0
A006,2025-03-25,4.146,59.8,50.66,1540,1358,0
A006,2025-03-26,4.666,65.95,58.11,491,1358,0
A006,2025-03-27,5.182,61.92,49.48,1808,1358,0
A006,2025-03-28,4.328,65.58,53.59,1767,1358,0
A006,2025-03-29,3.744,63.32,47.55,353,1358,0
A006,2025-03-30,3.864,61.13,52.57,1936,1358,0
A006,2025-03-31,3.533,62.32,51.08,1960,1358,0
A006,2025-04-01,4.282,63.12,56.4,311,1358,0
A007,2025-02-01,4.461,57.26,56.62,590,803,0
A007,2025-02-02,3.903,57.37,55.03,823,803,0
A007,2025-02-03,3.206,59.59,56.24,76,803,0
A007,2025-02-04,4.203,64.16,53.42,1661,803,0
A007,2025-02-05,3.492,57.21,51.09,256,803,0
A007,2025-02-06,3.517,58.47,47.43,13,803,0
A007,2025-02-07,3.747,63.84,48.65,522,803,0
A007,2025-02-08,3.634,57.25,50.96,369,803,0
A007,2025-02-09,3.943,57.21,55.56,1164,803,0
A007,2025-02-10,3.954,60.62,52.72,1774,803,0
A007,2025-02-11,3.664,58.38,52.53,235,803,0
A007,2025-02-12,3.443,58.41,58.9,67,803,0
A007,2025-02-13,3.45,56.12,50.33,1588,803,0
A007,2025-02-14,3.673,59.69,45.23,339,803,0
A007,2025-02-15,4.14,61.83,55.09,540,803,0
A007,2025-02-16,4.092,60.42,47.89,1226,803,0
A007,2025-02-17,3.621,57.99,53.03,1177,803,0
A007,2025-02-18,3.789,60.98,57.61,1185,803,0
A007,2025-02-19,4.307,58.82,50.05,1204,803,0
A007,2025-02-20,4.001,60.37,50.02,340,803,0
A007,2025-02-21,4.923,55.53,50.65,1080,803,0
A007,2025-02-22,4.02,60.45,52.16,476,803,0
A007,2025-02-23,2.874,58.33,55.1,1365,803,0
A007,2025-02-24,3.364,62.44,47.31,910,803,0
A007,2025-02-25,3.839,59.37,55.5,1206,803,0
A007,2025-02-26,4.29,62.29,53.6,1934,803,0
A007,2025-02-27,3.225,56.56,52.98,305,803,0
A007,2025-02-28,4.178,60.63,52.08,1738,803,0
A007,2025-03-01,3.897,59.78,53.17,779,803,0
A007,2025-03-02,3.623,59.49,50.51,992,803,0
A007,2025-03-03,4.122,60.59,55.92,398,803,0
A007,2025-03-04,3.442,58.17,48.91,718,803,0
A007,2025-03-05,4.407,53.91,45.75,1382,803,0
A007,2025-03-06,3.664,56.24,47.51,1963,803,0
A007,2025-03-07,4.604,64.45,49.82,1635,803,0
A007,2025-03-08,3.859,56.39,50.53,1881,803,0
A007,2025-03-09,3.264,61.12,51.63,894,803,0
A007,2025-03-10,4.061,60.18,48.91,1978,803,0
A007,2025-03-11,3.445,59.88,52.91,1414,803,0
A007,2025-03-12,3.902,62.8,51.49,797,803,0
A007,2025-03-13,3.733,60.97,53.02,1840,803,0
A007,2025-03-14,3.727,57.45,50.84,1549,803,0
A007,2025-03-15,3.659,61.82,44.1,1202,803,0
A007,2025-03-16,3.42,56.47,53.19,179,803,0
A007,2025-03-17,4.16,57.47,50.52,587,803,0
A007,2025-03-18,3.803,56.05,54.56,381,803,0
A007,2025-03-19,4.087,62.71,49.86,1747,803,0
A007,2025-03-20,3.473,55.96,50.62,1444,803,0
A007,2025-03-21,4.624,55.77,55.44,1566,803,0
A007,2025-03-22,4.527,59.99,45.18,1899,803,0
A007,2025-03-23,4.408,61.02,44.01,869,803,0
A007,2025-03-24,3.889,60.67,53.92,386,803,0
A007,2025-03-25,4.027,55.55,53.31,1839,803,0
A007,2025-03-26,3.949,56.69,50.29,1987,803,0
A007,2025-03-27,4.304,59.28,50.44,1645,803,0
A007,2025-03-28,3.67,55.56,53.02,1875,803,0
A007,2025-03-29,3.797,58.66,49.15,113,803,0
A007,2025-03-30,4.239,56.93,52.75,97,803,0
A007,2025-03-31,3.812,63.01,51.2,1663,803,0
A007,2025-04-01,4.285,61.85,50.76,105,803,0
A008,2025-02-01,3.364,57.96,49.25,254,934,0
A008,2025-02-02,3.588,59.39,48.76,586,934,0
A008,2025-02-03,3.781,60.86,48.58,624,934,0
A008,2025-02-04,3.429,58.32,58.98,1281,934,0
A008,2025-02-05,3.797,57.94,50.52,912,934,0
A008,2025-02-06,3.803,56.44,51.58,854,934,0
A008,2025-02-07,3.848,59.24,52.62,216,934,0
A008,2025-02-08,3.88,55.79,53.1,1093,934,0
A008,2025-02-09,4.445,59.26,51.35,199,934,0
A008,2025-02-10,3.379,56.3,50.31,1044,934,0
A008,2025-02-11,3.832,54.72,52.46,909,934,0
A008,2025-02-12,3.915,62.41,51.92,281,934,0
A008,2025-02-13,3.445,58.18,45.86,1248,934,0
A008,2025-02-14,3.851,61.26,52.12,584,934,0
A008,2025-02-15,3.695,60.2,51.3,294,934,0
A008,2025-02-16,4.31,62.63,48.78,276,934,0
A008,2025-02-17,3.345,58.5,54.98,655,934,0
A008,2025-02-18,4.015,61.1,55.4,1480,934,0
A008,2025-02-19,3.764,59.98,49.83,1395,934,0
A008,2025-02-20,4.108,57.45,50.29,154,934,0
A008,2025-02-21,3.894,62.06,51.65,1216,934,0
A008,2025-02-22,3.833,58.73,49.98,1602,934,0
A008,2025-02-23,4.894,64.47,57.6,424,934,0
A008,2025-02-24,3.448,61.93,50.16,422,934,0
A008,2025-02-25,4.281,62.67,51.07,1825,934,0
A008,2025-02-26,3.559,59.27,49.14,158,934,0
A008,2025-02-27,3.77,63.7,47.86,1379,934,0
A008,2025-02-28,3.844,62.44,54.84,923,934,0
A008,2025-03-01,3.601,55.49,53.89,169,934,0
A008,2025-03-02,4.326,65.62,51.69,368,934,0
A008,2025-03-03,3.935,59.06,49.09,1875,934,0
A008,2025-03-04,3.798,56.52,53.25,1284,934,0
A008,2025-03-05,3.593,53.15,53.22,1899,934,0
A008,2025-03-06,4.395,59.77,52.01,384,934,0
A008,2025-03-07,4.086,62.36,56.95,1346,934,0
A008,2025-03-08,3.736,64.02,50.48,1062,934,0
A008,2025-03-09,3.587,59.95,50.81,224,934,0
A008,2025-03-10,3.717,54.86,53.42,1466,934,0
A008,2025-03-11,4.146,58.94,56.61,1667,934,0
A008,2025-03-12,2.923,56.1,51.65,1396,934,0
A008,2025-03-13,3.67,60.02,48.25,1992,934,0
A008,2025-03-14,4.335,56.58,51.53,1952,934,0
A008,2025-03-15,4.156,62.57,54.11,1455,934,0
A008,2025-03-16,3.959,57.55,48.24,1822,934,0
A008,2025-03-17,3.121,60.66,51.23,194,934,0
A008,2025-03-18,4.374,61.56,52.66,1690,934,0
A008,2025-03-19,4.186,60.92,52.07,196,934,0
A008,2025-03-20,3.879,57.36,55.97,2,934,0
A008,2025-03-21,4.703,60.63,50.61,1790,934,0
A008,2025-03-22,4.133,57.77,47.63,740,934,0
A008,2025-03-23,3.753,62.36,48.37,534,934,0
A008,2025-03-24,3.92,59.26,54.1,1361,934,0
A008,2025-03-25,4.843,59.79,53.56,594,934,0
A008,2025-03-26,3.888,63.86,53.01,1507,934,0
A008,2025-03-27,3.587,56.97,52.98,266,934,0
A008,2025-03-28,3.642,63.45,58.36,858,934,0
A008,2025-03-29,3.824,58.98,51.31,1629,934,0
A008,2025-03-30,4.17,64.91,52.02,1054,934,0
A008,2025-03-31,3.648,65.14,52.64,1370,934,0
A008,2025-04-01,4.069,57.91,47.03,1510,934,0
A009,2025-02-01,4.696,63.79,55.32,1692,1523,0
A009,2025-02-02,4.086,65.26,51.67,999,1523,0
A009,2025-02-03,4.569,61.24,53.89,1439,1523,0
