pipe_id,timestamp,flow_in_lps,flow_out_lps,pressure_bar,leak_label,pipe_length_km
P001,2025-03-11 09:00:00,70.34,68.77,4.57,0,2.59
P001,2025-03-11 10:00:00,56.04,55.37,4.54,0,2.59
P001,2025-03-11 11:00:00,57.25,55.94,4.78,0,2.59
P001,2025-03-11 12:00:00,45.83,45.01,4.87,0,2.59
P001,2025-03-11 13:00:00,43.12,42.4,4.68,0,2.59
P001,2025-03-11 14:00:00,45.14,43.95,4.71,0,2.59
P001,2025-03-11 15:00:00,52.22,50.78,4.56,0,2.59
P001,2025-03-11 16:00:00,59.88,58.95,4.58,0,2.59
P001,2025-03-11 17:00:00,55.41,54.74,4.5,0,2.59
P001,2025-03-11 18:00:00,69.68,68.9,4.7,0,2.59
P001,2025-03-11 19:00:00,69.77,68.12,4.96,0,2.59
P001,2025-03-11 20:00:00,73.31,71.74,4.8,0,2.59
P001,2025-03-11 21:00:00,61.54,60.23,4.58,0,2.59
P001,2025-03-11 22:00:00,60.78,59.81,4.7,0,2.59
P001,2025-03-11 23:00:00,56.31,55.11,4.69,0,2.59
P001,2025-03-12 00:00:00,53.59,52.1,4.74,0,2.59
P001,2025-03-12 01:00:00,49.34,48.49,4.81,0,2.59
P001,2025-03-12 02:00:00,59.2,57.7,4.84,0,2.59
P001,2025-03-12 03:00:00,47.5,46.39,4.71,0,2.59
P001,2025-03-12 04:00:00,58.57,57.65,4.78,0,2.59
P001,2025-03-12 05:00:00,65.89,64.58,4.74,0,2.59
P001,2025-03-12 06:00:00,76.62,75.46,4.78,0,2.59
P001,2025-03-12 07:00:00,73.57,72.79,4.57,0,2.59
P001,2025-03-12 08:00:00,65.07,63.24,5.03,0,2.59
P001,2025-03-12 09:00:00,58.07,57.28,4.75,0,2.59
P001,2025-03-12 10:00:00,62.73,61.66,4.59,0,2.59
P001,2025-03-12 11:00:00,59.81,58.51,4.74,0,2.59
P001,2025-03-12 12:00:00,59.6,57.94,4.6,0,2.59
P001,2025-03-12 13:00:00,49.97,49.23,4.66,0,2.59
P001,2025-03-12 14:00:00,48.91,48.3,4.65,0,2.59
P001,2025-03-12 15:00:00,53.26,52.46,4.68,0,2.59
P001,2025-03-12 16:00:00,63.77,63.0,4.84,0,2.59
P001,2025-03-12 17:00:00,58.57,57.31,4.65,0,2.59
P001,2025-03-12 18:00:00,73.44,71.34,4.78,0,2.59
P001,2025-03-12 19:00:00,72.69,70.69,4.73,0,2.59
P001,2025-03-12 20:00:00,69.75,68.54,4.87,0,2.59
P001,2025-03-12 21:00:00,69.92,69.18,4.69,0,2.59
P001,2025-03-12 22:00:00,59.52,58.72,4.69,0,2.59
P001,2025-03-12 23:00:00,54.17,53.33,4.89,0,2.59
P001,2025-03-13 00:00:00,47.91,46.91,4.65,0,2.59
P001,2025-03-13 01:00:00,49.82,48.56,5.04,0,2.59
P001,2025-03-13 02:00:00,49.57,48.75,4.62,0,2.59
P001,2025-03-13 03:00:00,56.85,55.73,4.85,0,2.59
P001,2025-03-13 04:00:00,59.95,58.4,4.64,0,2.59
P001,2025-03-13 05:00:00,72.32,71.08,4.56,0,2.59
P001,2025-03-13 06:00:00,64.51,62.94,4.7,0,2.59
P001,2025-03-13 07:00:00,89.53,87.1,4.76,0,2.59
P001,2025-03-13 08:00:00,74.54,73.55,4.8,0,2.59
P001,2025-03-13 09:00:00,69.95,68.79,5.07,0,2.59
P001,2025-03-13 10:00:00,65.21,63.86,4.62,0,2.59
P001,2025-03-13 11:00:00,56.07,54.86,4.73,0,2.59
P001,2025-03-13 12:00:00,51.54,50.28,4.72,0,2.59
P001,2025-03-13 13:00:00,50.27,49.71,4.51,0,2.59
P001,2025-03-13 14:00:00,49.78,48.95,4.72,0,2.59
P001,2025-03-13 15:00:00,56.5,55.04,4.75,0,2.59
P001,2025-03-13 16:00:00,59.91,58.48,4.82,0,2.59
P001,2025-03-13 17:00:00,72.93,71.46,4.7,0,2.59
P001,2025-03-13 18:00:00,67.51,65.65,4.87,0,2.59
P001,2025-03-13 19:00:00,76.07,74.67,4.69,0,2.59
P001,2025-03-13 20:00:00,60.94,59.34,4.87,0,2.59
P001,2025-03-13 21:00:00,61.83,60.11,4.7,0,2.59
P001,2025-03-13 22:00:00,58.17,56.84,4.88,0,2.59
P001,2025-03-13 23:00:00,56.14,54.72,4.57,0,2.59
P001,2025-03-14 00:00:00,61.51,59.97,4.81,0,2.59
P001,2025-03-14 01:00:00,46.82,45.42,4.93,0,2.59
P001,2025-03-14 02:00:00,50.96,50.32,4.71,0,2.59
P001,2025-03-14 03:00:00,53.22,51.96,4.73,0,2.59
P001,2025-03-14 04:00:00,59.04,57.77,4.71,0,2.59
P001,2025-03-14 05:00:00,65.24,64.49,4.63,0,2.59
P001,2025-03-14 06:00:00,76.9,75.75,4.63,0,2.59
P001,2025-03-14 07:00:00,81.27,79.05,4.92,0,2.59
P001,2025-03-14 08:00:00,76.06,74.39,4.76,0,2.59
P001,2025-03-14 09:00:00,72.7,70.55,4.7,0,2.59
P001,2025-03-14 10:00:00,56.5,54.97,4.39,0,2.59
P001,2025-03-14 11:00:00,54.22,53.66,4.65,0,2.59
P001,2025-03-14 12:00:00,49.78,48.49,4.44,0,2.59
P001,2025-03-14 13:00:00,49.35,48.63,4.57,0,2.59
P001,2025-03-14 14:00:00,45.74,45.07,4.59,0,2.59
P001,2025-03-14 15:00:00,49.5,48.63,4.85,0,2.59
P001,2025-03-14 16:00:00,64.94,63.8,4.75,0,2.59
P001,2025-03-14 17:00:00,74.26,72.14,4.68,0,2.59
P001,2025-03-14 18:00:00,58.59,57.25,4.61,0,2.59
P001,2025-03-14 19:00:00,73.39,72.37,4.59,0,2.59
P001,2025-03-14 20:00:00,71.64,70.78,4.82,0,2.59
P001,2025-03-14 21:00:00,61.23,59.53,4.95,0,2.59
P001,2025-03-14 22:00:00,69.87,68.76,5.0,0,2.59
P001,2025-03-14 23:00:00,46.04,45.52,4.66,0,2.59
P002,2025-03-01 00:00:00,61.43,60.07,5.0,0,1.39
P002,2025-03-01 01:00:00,56.27,55.17,4.82,0,1.39
P002,2025-03-01 02:00:00,61.1,60.43,4.74,0,1.39
P002,2025-03-01 03:00:00,46.73,45.74,5.19,0,1.39
P002,2025-03-01 04:00:00,50.82,50.16,4.8,0,1.39
P002,2025-03-01 05:00:00,70.95,69.28,4.82,0,1.39
P002,2025-03-01 06:00:00,73.47,71.37,4.87,0,1.39
P002,2025-03-01 07:00:00,80.07,78.13,4.89,0,1.39
P002,2025-03-01 08:00:00,82.9,80.78,4.96,0,1.39
P002,2025-03-01 09:00:00,67.24,65.64,4.91,0,1.39
P002,2025-03-01 10:00:00,45.61,44.86,4.85,0,1.39
P002,2025-03-01 11:00:00,55.94,54.29,4.76,0,1.39
P002,2025-03-01 12:00:00,49.59,48.77,5.0,0,1.39
P002,2025-03-01 13:00:00,46.14,45.01,5.01,0,1.39
P002,2025-03-01 14:00:00,60.56,59.35,4.81,0,1.39
P002,2025-03-01 15:00:00,50.23,49.18,4.77,0,1.39
P002,2025-03-01 16:00:00,67.94,66.32,4.71,0,1.39
P002,2025-03-01 17:00:00,61.44,60.7,4.6,0,1.39
P002,2025-03-01 18:00:00,69.83,69.1,4.89,0,1.39
P002,2025-03-01 19:00:00,81.15,78.84,4.82,0,1.39
P002,2025-03-01 20:00:00,74.54,72.37,4.77,0,1.39
P002,2025-03-01 21:00:00,60.6,59.53,5.05,0,1.39
P002,2025-03-01 22:00:00,60.93,59.36,4.96,0,1.39
P002,2025-03-01 23:00:00,55.85,55.09,4.64,0,1.39
P002,2025-03-02 00:00:00,54.75,53.32,4.76,0,1.39
P002,2025-03-02 01:00:00,52.79,51.21,4.7,0,1.39
P002,2025-03-02 02:00:00,46.16,44.95,4.77,0,1.39
P002,2025-03-02 03:00:00,49.68,48.95,4.69,0,1.39
P002,2025-03-02 04:00:00,70.3,69.02,4.87,0,1.39
P002,2025-03-02 05:00:00,60.15,58.78,4.69,0,1.39
P002,2025-03-02 06:00:00,72.5,71.24,4.79,0,1.39
P002,2025-03-02 07:00:00,83.59,82.7,4.89,0,1.39
P002,2025-03-02 08:00:00,76.46,75.04,4.65,0,1.39
P002,2025-03-02 09:00:00,70.68,68.72,4.64,0,1.39
P002,2025-03-02 10:00:00,58.57,43.62,4.14,1,1.39
P002,2025-03-02 11:00:00,56.42,55.01,4.69,0,1.39
P002,2025-03-02 12:00:00,52.6,51.71,4.87,0,1.39
P002,2025-03-02 13:00:00,39.95,39.55,4.98,0,1.39
P002,2025-03-02 14:00:00,56.29,55.33,4.99,0,1.39
P002,2025-03-02 15:00:00,49.91,49.33,4.89,0,1.39
P002,2025-03-02 16:00:00,61.81,61.12,4.86,0,1.39
P002,2025-03-02 17:00:00,71.15,69.92,4.8,0,1.39
P002,2025-03-02 18:00:00,70.02,69.3,5.01,0,1.39
P002,2025-03-02 19:00:00,67.76,66.49,4.98,0,1.39
P002,2025-03-02 20:00:00,79.17,77.72,4.94,0,1.39
P002,2025-03-02 21:00:00,65.92,64.56,4.68,0,1.39
P002,2025-03-02 22:00:00,60.79,59.54,4.75,0,1.39
P002,2025-03-02 23:00:00,53.64,53.06,4.91,0,1.39
P002,2025-03-03 00:00:00,45.9,44.87,4.7,0,1.39
P002,2025-03-03 01:00:00,47.71,46.79,4.47,0,1.39
P002,2025-03-03 02:00:00,57.97,56.89,4.92,0,1.39
P002,2025-03-03 03:00:00,50.3,49.3,4.77,0,1.39
P002,2025-03-03 04:00:00,65.19,63.61,4.66,0,1.39
P002,2025-03-03 05:00:00,57.92,56.22,5.06,0,1.39
P002,2025-03-03 06:00:00,72.08,70.4,5.05,0,1.39
P002,2025-03-03 07:00:00,84.1,82.39,4.71,0,1.39
P002,2025-03-03 08:00:00,79.68,78.17,4.63,0,1.39
P002,2025-03-03 09:00:00,73.14,71.23,4.71,0,1.39
P002,2025-03-03 10:00:00,64.67,63.12,4.67,0,1.39
P002,2025-03-03 11:00:00,49.25,48.37,5.1,0,1.39
P002,2025-03-03 12:00:00,53.83,53.19,4.73,0,1.39
P002,2025-03-03 13:00:00,52.34,50.86,4.9,0,1.39
P002,2025-03-03 14:00:00,51.01,50.47,4.9,0,1.39
P002,2025-03-03 15:00:00,60.77,59.87,4.98,0,1.39
P002,2025-03-03 16:00:00,62.59,61.68,4.73,0,1.39
P002,2025-03-03 17:00:00,59.83,58.36,4.85,0,1.39
P002,2025-03-03 18:00:00,75.84,74.65,4.58,0,1.39
P002,2025-03-03 19:00:00,71.69,70.85,4.93,0,1.39
P002,2025-03-03 20:00:00,78.27,76.9,4.52,0,1.39
P002,2025-03-03 21:00:00,65.85,64.69,4.78,0,1.39
P002,2025-03-03 22:00:00,60.02,58.24,4.94,0,1.39
P002,2025-03-03 23:00:00,46.98,46.41,4.72,0,1.39
P002,2025-03-04 00:00:00,45.98,45.25,4.81,0,1.39
