date,department,current_headcount,projects,attrition_rate,productivity_index,required_headcount
2024-06-01,Finance,340,1,0.0114,1.016,426
2024-07-01,Finance,426,2,0.0063,1.049,504
2024-08-01,Finance,502,3,0.0161,0.952,550
2024-09-01,Finance,550,4,0.0068,0.872,579
2024-10-01,Finance,579,3,0.0203,1.034,590
2024-11-01,Finance,590,2,0.0047,1.022,628
2024-12-01,Finance,627,3,0.0192,1.029,707
2025-01-01,Finance,705,5,0.0165,1.024,873
2025-02-01,Finance,871,0,0.0121,1.095,1160
2025-03-01,Finance,1159,3,0.0161,1.039,1637
2025-04-01,Finance,1636,2,0.0108,1.058,2376
2025-05-01,Finance,2376,0,0.0202,1.028,3388
2025-06-01,Finance,3388,3,0.0079,0.905,4677
2025-07-01,Finance,4677,0,0.0174,0.907,5999
2025-08-01,Finance,5999,0,0.0074,0.943,7225
2025-09-01,Finance,7223,1,0.0137,0.953,8199
2025-10-01,Finance,8197,0,0.0034,0.733,9239
2025-11-01,Finance,9237,4,0.0063,1.152,10720
2025-12-01,Finance,10719,3,0.0,0.871,13391
2023-01-01,HR,51,2,0.0139,1.075,54
2023-02-01,HR,54,1,0.0164,0.951,60
2023-03-01,HR,59,2,0.0072,0.976,72
2023-04-01,HR,71,0,0.0208,1.011,83
2023-05-01,HR,81,3,0.0044,0.975,101
2023-06-01,HR,101,0,0.0114,0.968,113
2023-07-01,HR,113,0,0.0204,0.954,117
2023-08-01,HR,116,0,0.0101,0.943,114
2023-09-01,HR,114,1,0.0,0.955,109
2023-10-01,HR,107,3,0.0104,0.993,104
2023-11-01,HR,104,1,0.0096,1.169,101
2023-12-01,HR,100,2,0.006,0.914,106
2024-01-01,HR,105,3,0.0138,1.009,122
2024-02-01,HR,120,7,0.0159,0.982,158
2024-03-01,HR,156,0,0.0038,0.913,200
2024-04-01,HR,200,3,0.018,0.94,267
2024-05-01,HR,266,2,0.0177,0.896,348
2024-06-01,HR,348,0,0.014,1.021,433
2024-07-01,HR,431,1,0.0127,0.87,505
2024-08-01,HR,503,1,0.0241,0.937,544
2024-09-01,HR,542,0,0.0095,0.929,561
2024-10-01,HR,559,5,0.0193,0.935,574
2024-11-01,HR,574,0,0.0105,1.033,603
2024-12-01,HR,603,2,0.0047,1.061,687
2025-01-01,HR,685,3,0.0196,1.064,842
2025-02-01,HR,841,0,0.0076,0.768,1124
2025-03-01,HR,1124,2,0.0082,0.998,1595
2025-04-01,HR,1594,1,0.0154,0.893,2306
2025-05-01,HR,2306,0,0.0064,1.086,3320
2025-06-01,HR,3320,0,0.0077,0.907,4578
2025-07-01,HR,4576,1,0.0043,1.213,5931
2025-08-01,HR,5931,1,0.022,0.969,7059
2025-09-01,HR,7059,1,0.0096,1.022,8042
2025-10-01,HR,8040,0,0.0175,0.995,8948
2025-11-01,HR,8946,1,0.0095,0.942,10347
2025-12-01,HR,10346,1,0.0078,1.013,12841
2023-01-01,Quality,48,3,0.0148,0.967,53
2023-02-01,Quality,52,0,0.0138,1.165,56
2023-03-01,Quality,54,0,0.0131,0.968,62
2023-04-01,Quality,61,0,0.0161,0.748,71
2023-05-01,Quality,71,1,0.026,0.928,84
2023-06-01,Quality,83,0,0.0077,0.943,93
2023-07-01,Quality,91,0,0.0095,1.021,96
2023-08-01,Quality,95,0,0.0072,1.079,93
2023-09-01,Quality,91,1,0.0179,0.941,86
2023-10-01,Quality,84,0,0.0098,0.931,77
2023-11-01,Quality,77,0,0.008,0.989,73
2023-12-01,Quality,72,2,0.0209,0.876,76
2024-01-01,Quality,76,0,0.0143,0.953,84
2024-02-01,Quality,83,2,0.0202,0.904,103
2024-03-01,Quality,102,1,0.0116,1.241,132
2024-04-01,Quality,132,1,0.0135,0.777,175
2024-05-01,Quality,174,2,0.0188,0.825,229
2024-06-01,Quality,227,3,0.004,1.049,291
2024-07-01,Quality,290,1,0.0119,0.941,341
2024-08-01,Quality,340,1,0.016,1.018,371
2024-09-01,Quality,371,1,0.0101,1.069,386
2024-10-01,Quality,385,4,0.0145,0.932,398
2024-11-01,Quality,396,1,0.0181,1.011,415
2024-12-01,Quality,414,1,0.0067,0.834,470
2025-01-01,Quality,470,6,0.0,1.029,595
2025-02-01,Quality,593,5,0.016,1.058,797
2025-03-01,Quality,796,3,0.0149,0.966,1127
2025-04-01,Quality,1126,5,0.0126,1.103,1640
2025-05-01,Quality,1639,1,0.0091,0.99,2357
2025-06-01,Quality,2356,0,0.0049,1.126,3256
2025-07-01,Quality,3254,1,0.0045,0.945,4218
2025-08-01,Quality,4217,1,0.0141,1.039,5052
2025-09-01,Quality,5050,1,0.0078,0.963,5763
2025-10-01,Quality,5763,3,0.008,0.965,6475
2025-11-01,Quality,6474,0,0.0043,0.948,7520
2025-12-01,Quality,7519,1,0.0086,0.905,9327
