timestamp,station_id,latitude,longitude,temperature_C,pH,conductivity_uScm,dissolved_oxygen_mgL,turbidity_NTU,nitrate_mgL,phosphate_mgL,ammonia_mgL,orp_mV,chlorine_mgL,total_coliforms_CFU_100mL,e_coli_CFU_100mL
2025-08-06T00:00:00,WTP-01,24.7136,46.6753,24.0,7.23,623.5,7.79,1.04,4.556,0.169,0.051,255.2,0.434,7,0
2025-08-06T03:00:00,WTP-01,24.7136,46.6753,28.79,7.12,644.1,7.15,1.64,6.608,0.305,0.065,235.5,0.497,1,0
2025-08-06T06:00:00,WTP-01,24.7136,46.6753,28.22,7.17,653.5,7.22,2.7,6.204,0.267,0.042,240.2,0.558,6,0
2025-08-06T09:00:00,WTP-01,24.7136,46.6753,25.8,7.22,639.2,7.83,1.35,7.041,0.216,0.005,271.0,0.602,1,0
2025-08-06T12:00:00,WTP-01,24.7136,46.6753,25.5,7.09,659.4,7.89,0.61,6.915,0.267,0.042,262.7,0.625,5,0
2025-08-06T15:00:00,WTP-01,24.7136,46.6753,22.22,7.16,710.4,7.84,1.29,6.663,0.314,0.041,241.5,0.697,9,0
2025-08-06T18:00:00,WTP-01,24.7136,46.6753,22.25,7.29,619.0,7.08,0.43,7.197,0.283,0.049,255.6,0.613,27,0
2025-08-06T21:00:00,WTP-01,24.7136,46.6753,23.95,7.23,658.7,7.86,1.65,5.088,0.183,0.088,253.7,0.678,4,0
2025-08-07T00:00:00,WTP-01,24.7136,46.6753,25.03,7.25,582.3,8.26,1.41,5.658,0.199,0.017,266.5,0.47,2,0
2025-08-07T03:00:00,WTP-01,24.7136,46.6753,26.22,7.19,605.0,7.28,2.0,4.945,0.29,0.047,271.6,0.652,2,0
2025-08-07T06:00:00,WTP-01,24.7136,46.6753,27.84,7.14,752.9,7.33,2.01,5.981,0.26,0.047,238.5,0.546,4,0
2025-08-07T09:00:00,WTP-01,24.7136,46.6753,27.95,7.07,566.9,6.74,0.79,6.163,0.264,0.045,247.0,0.467,8,0
2025-08-07T12:00:00,WTP-01,24.7136,46.6753,25.56,7.26,678.9,6.94,1.19,6.391,0.189,0.064,245.2,0.644,8,0
2025-08-07T15:00:00,WTP-01,24.7136,46.6753,23.87,7.15,623.7,7.17,0.5,7.412,0.188,0.034,276.3,0.459,8,0
2025-08-07T18:00:00,WTP-01,24.7136,46.6753,20.75,7.28,658.4,7.65,1.17,6.319,0.248,0.072,252.3,0.594,3,0
2025-08-07T21:00:00,WTP-01,24.7136,46.6753,24.17,7.23,625.1,7.43,0.73,6.081,0.169,0.061,290.1,0.653,3,0
2025-08-08T00:00:00,WTP-01,24.7136,46.6753,25.15,7.25,716.6,8.01,0.4,4.976,0.219,0.051,260.4,0.524,5,0
2025-08-08T03:00:00,WTP-01,24.7136,46.6753,26.21,7.16,703.7,6.92,2.34,4.597,0.354,0.044,251.9,0.448,7,0
2025-08-08T06:00:00,WTP-01,24.7136,46.6753,29.54,7.2,696.0,6.95,1.98,7.417,0.219,0.086,264.2,0.697,7,0
2025-08-08T09:00:00,WTP-01,24.7136,46.6753,26.06,7.26,597.2,7.25,2.14,6.096,0.291,0.062,275.7,0.663,3,0
2025-08-08T12:00:00,WTP-01,24.7136,46.6753,25.26,7.21,660.9,6.86,0.85,6.843,0.248,0.064,250.6,0.548,9,0
2025-08-08T15:00:00,WTP-01,24.7136,46.6753,22.04,7.23,608.3,8.28,1.34,6.108,0.271,0.011,237.0,0.628,9,0
2025-08-08T18:00:00,WTP-01,24.7136,46.6753,22.05,7.25,629.3,8.4,2.88,5.71,0.228,0.079,281.6,0.572,3,0
2025-08-08T21:00:00,WTP-01,24.7136,46.6753,22.28,7.15,572.7,7.04,0.86,6.546,0.242,0.033,296.2,0.762,11,0
2025-08-09T00:00:00,WTP-01,24.7136,46.6753,24.62,7.17,625.1,7.22,1.12,6.951,0.321,0.039,233.4,0.663,3,0
2025-08-09T03:00:00,WTP-01,24.7136,46.6753,28.54,7.25,616.4,7.44,1.78,6.467,0.277,0.072,233.0,0.474,1,0
2025-08-09T06:00:00,WTP-01,24.7136,46.6753,27.98,7.29,629.3,7.41,1.99,6.951,0.376,0.039,240.2,0.785,7,0
2025-08-09T09:00:00,WTP-01,24.7136,46.6753,27.27,7.22,687.3,7.57,1.74,6.572,0.275,0.067,270.2,0.648,3,0
2025-08-09T12:00:00,WTP-01,24.7136,46.6753,24.9,7.21,698.3,7.09,1.72,5.685,0.251,0.076,253.8,0.675,1,0
2025-08-09T15:00:00,WTP-01,24.7136,46.6753,23.78,7.21,660.7,7.44,1.82,6.038,0.31,0.021,253.5,0.56,4,0
2025-08-09T18:00:00,WTP-01,24.7136,46.6753,22.08,7.16,697.8,6.94,1.16,6.302,0.328,0.049,238.9,0.38,1,0
2025-08-09T21:00:00,WTP-01,24.7136,46.6753,23.27,7.25,694.9,8.3,1.37,5.082,0.244,0.063,225.5,0.579,9,0
2025-08-10T00:00:00,WTP-01,24.7136,46.6753,24.25,7.27,646.7,8.06,1.71,6.365,0.278,0.059,262.9,0.671,5,0
2025-08-10T03:00:00,WTP-01,24.7136,46.6753,26.5,7.2,665.0,6.98,1.19,5.747,0.213,0.05,218.2,0.7,3,0
2025-08-10T06:00:00,WTP-01,24.7136,46.6753,27.73,7.08,586.6,7.68,2.47,6.34,0.202,0.049,249.9,0.688,14,0
2025-08-10T09:00:00,WTP-01,24.7136,46.6753,26.6,7.2,639.2,7.32,1.39,5.414,0.26,0.029,269.8,0.556,3,0
2025-08-10T12:00:00,WTP-01,24.7136,46.6753,25.84,7.25,652.4,7.18,1.92,6.315,0.295,0.063,271.0,0.62,12,0
2025-08-10T15:00:00,WTP-01,24.7136,46.6753,23.12,7.31,635.2,7.74,0.88,5.577,0.281,0.073,309.3,0.675,2,0
2025-08-10T18:00:00,WTP-01,24.7136,46.6753,22.02,7.21,674.5,7.19,1.35,4.665,0.27,0.063,240.3,0.454,2,0
2025-08-10T21:00:00,WTP-01,24.7136,46.6753,21.94,7.3,645.8,8.53,0.52,5.542,0.29,0.054,260.7,0.678,12,0
2025-08-11T00:00:00,WTP-01,24.7136,46.6753,25.3,7.21,628.0,7.16,1.48,6.938,0.277,0.043,265.4,0.426,11,0
2025-08-11T03:00:00,WTP-01,24.7136,46.6753,27.35,7.2,682.3,6.74,2.66,5.434,0.172,0.045,208.1,0.723,4,0
2025-08-11T06:00:00,WTP-01,24.7136,46.6753,28.9,7.24,636.1,7.13,1.81,7.661,0.269,0.059,270.6,0.58,4,0
2025-08-11T09:00:00,WTP-01,24.7136,46.6753,27.15,7.17,644.8,6.84,1.39,6.359,0.221,0.05,252.8,0.709,4,0
2025-08-11T12:00:00,WTP-01,24.7136,46.6753,26.25,7.19,694.3,6.98,1.87,5.157,0.219,0.088,246.2,0.65,9,0
2025-08-11T15:00:00,WTP-01,24.7136,46.6753,22.86,7.3,688.5,7.8,1.23,6.054,0.26,0.059,228.5,0.763,2,0
2025-08-11T18:00:00,WTP-01,24.7136,46.6753,22.18,7.16,647.4,7.86,1.69,6.338,0.331,0.059,245.1,0.477,11,0
2025-08-11T21:00:00,WTP-01,24.7136,46.6753,23.31,7.23,701.6,7.51,1.57,5.177,0.186,0.017,232.3,0.57,1,0
2025-08-12T00:00:00,WTP-01,24.7136,46.6753,25.99,7.25,622.5,8.63,2.09,5.74,0.125,0.096,222.2,0.844,10,0
2025-08-12T03:00:00,WTP-01,24.7136,46.6753,27.53,7.23,639.9,7.55,1.89,6.442,0.248,0.031,232.6,0.538,9,0
2025-08-12T06:00:00,WTP-01,24.7136,46.6753,28.55,7.12,610.4,7.77,1.41,5.82,0.278,0.031,252.1,0.632,3,0
2025-08-12T09:00:00,WTP-01,24.7136,46.6753,27.96,7.2,626.8,7.39,1.78,6.111,0.31,0.058,244.3,0.47,7,0
2025-08-12T12:00:00,WTP-01,24.7136,46.6753,24.25,7.17,621.3,7.95,1.32,6.998,0.216,0.056,233.3,0.631,2,0
2025-08-12T15:00:00,WTP-01,24.7136,46.6753,22.67,7.22,699.0,8.45,0.58,6.214,0.323,0.016,256.3,0.523,6,0
2025-08-12T18:00:00,WTP-01,24.7136,46.6753,23.01,7.17,672.8,8.51,1.27,5.837,0.221,0.03,237.0,0.523,5,0
2025-08-12T21:00:00,WTP-01,24.7136,46.6753,22.51,7.24,691.2,7.7,1.78,7.694,0.191,0.025,263.9,0.773,4,0
2025-08-13T00:00:00,WTP-01,24.7136,46.6753,25.33,7.2,671.6,7.04,1.6,4.869,0.244,0.032,235.3,0.661,10,0
2025-08-13T03:00:00,WTP-01,24.7136,46.6753,26.8,7.13,652.9,7.75,2.05,6.982,0.213,0.055,239.5,0.658,7,0
2025-08-13T06:00:00,WTP-01,24.7136,46.6753,27.53,7.13,576.6,7.55,1.34,4.278,0.269,0.1,249.9,0.59,5,0
2025-08-13T09:00:00,WTP-01,24.7136,46.6753,27.46,7.23,629.7,7.24,0.79,5.718,0.198,0.076,251.0,0.62,4,0
2025-08-13T12:00:00,WTP-01,24.7136,46.6753,24.98,7.24,705.6,7.78,1.51,4.951,0.197,0.044,237.8,0.653,5,0
2025-08-13T15:00:00,WTP-01,24.7136,46.6753,21.8,7.17,534.5,7.79,1.67,5.365,0.277,0.024,230.7,0.594,3,0
2025-08-13T18:00:00,WTP-01,24.7136,46.6753,22.09,7.18,625.5,7.55,1.27,6.136,0.258,0.05,258.7,0.452,9,0
2025-08-13T21:00:00,WTP-01,24.7136,46.6753,22.25,7.19,644.9,8.14,1.2,5.063,0.31,0.044,267.6,0.583,4,0
2025-08-14T00:00:00,WTP-01,24.7136,46.6753,24.67,7.22,590.8,7.59,1.49,6.463,0.256,0.031,273.9,0.507,4,0
2025-08-14T03:00:00,WTP-01,24.7136,46.6753,27.82,7.16,557.9,7.14,1.48,4.179,0.264,0.054,272.8,0.559,1,0
2025-08-14T06:00:00,WTP-01,24.7136,46.6753,29.29,7.17,679.7,7.45,2.78,7.249,0.252,0.035,259.2,0.614,20,0
2025-08-14T09:00:00,WTP-01,24.7136,46.6753,27.26,7.18,617.9,8.01,0.91,4.938,0.284,0.073,241.0,0.529,6,0
2025-08-14T12:00:00,WTP-01,24.7136,46.6753,25.6,7.16,593.1,8.25,1.31,5.799,0.316,0.061,259.1,0.693,3,0
2025-08-14T15:00:00,WTP-01,24.7136,46.6753,23.75,7.29,679.8,7.94,0.99,6.287,0.278,0.046,238.1,0.405,1,0
2025-08-14T18:00:00,WTP-01,24.7136,46.6753,21.87,7.19,662.3,8.11,2.02,5.534,0.242,0.056,245.0,0.673,6,0
2025-08-14T21:00:00,WTP-01,24.7136,46.6753,22.26,7.23,663.1,7.66,1.44,5.931,0.291,0.062,250.6,0.672,7,0
2025-08-15T00:00:00,WTP-01,24.7136,46.6753,25.14,7.33,672.6,6.62,1.95,6.305,0.314,0.063,247.2,0.515,4,0
2025-08-15T03:00:00,WTP-01,24.7136,46.6753,27.28,7.13,678.8,8.08,1.69,5.112,0.264,0.079,221.0,0.518,3,0
2025-08-15T06:00:00,WTP-01,24.7136,46.6753,29.04,7.18,659.0,7.77,1.15,4.591,0.174,0.075,239.0,0.618,3,0
2025-08-15T09:00:00,WTP-01,24.7136,46.6753,28.24,7.29,715.2,7.84,1.13,6.662,0.25,0.076,272.3,0.668,9,0
2025-08-15T12:00:00,WTP-01,24.7136,46.6753,24.31,7.19,621.3,6.57,1.45,5.903,0.326,0.063,229.5,0.658,11,0
2025-08-15T15:00:00,WTP-01,24.7136,46.6753,23.57,7.18,697.9,6.67,0.75,6.279,0.179,0.027,239.4,0.617,1,0
2025-08-15T18:00:00,WTP-01,24.7136,46.6753,21.72,7.12,670.5,7.43,0.8,3.702,0.249,0.085,283.2,0.647,3,0
2025-08-15T21:00:00,WTP-01,24.7136,46.6753,23.12,7.17,664.1,7.7,0.91,5.286,0.268,0.046,233.2,0.757,4,0
2025-08-16T00:00:00,WTP-01,24.7136,46.6753,24.99,7.16,553.0,7.94,1.94,5.775,0.253,0.06,218.7,0.475,8,0
2025-08-16T03:00:00,WTP-01,24.7136,46.6753,26.32,7.32,653.2,7.53,1.51,5.748,0.229,0.039,262.7,0.866,10,0
2025-08-16T06:00:00,WTP-01,24.7136,46.6753,28.26,7.23,657.1,7.12,1.5,6.069,0.196,0.001,258.7,0.499,0,0
2025-08-16T09:00:00,WTP-01,24.7136,46.6753,26.69,7.2,705.9,7.39,1.11,5.953,0.219,0.062,235.8,0.523,11,0
2025-08-16T12:00:00,WTP-01,24.7136,46.6753,25.19,7.19,638.3,6.72,2.03,5.938,0.241,0.114,256.0,0.715,3,0
2025-08-16T15:00:00,WTP-01,24.7136,46.6753,21.78,7.21,664.5,8.33,2.21,6.429,0.288,0.046,225.6,0.666,9,0
2025-08-16T18:00:00,WTP-01,24.7136,46.6753,21.8,7.18,611.8,7.91,2.74,5.146,0.251,0.078,248.4,0.643,2,0
2025-08-16T21:00:00,WTP-01,24.7136,46.6753,22.17,7.19,651.3,7.51,2.58,6.179,0.21,0.062,255.4,0.635,17,0
2025-08-17T00:00:00,WTP-01,24.7136,46.6753,25.79,7.19,565.1,7.2,2.28,5.982,0.2,0.04,266.8,0.563,4,0
2025-08-17T03:00:00,WTP-01,24.7136,46.6753,26.72,7.1,680.5,7.99,1.09,6.995,0.245,0.075,250.8,0.521,6,0
2025-08-17T06:00:00,WTP-01,24.7136,46.6753,27.72,7.21,661.3,7.17,2.35,5.62,0.294,0.023,252.5,0.532,2,0
2025-08-17T09:00:00,WTP-01,24.7136,46.6753,27.74,7.13,678.9,7.69,0.77,6.667,0.264,0.063,230.7,0.372,1,0
2025-08-17T12:00:00,WTP-01,24.7136,46.6753,23.7,7.24,628.6,7.45,1.7,6.152,0.285,0.041,260.3,0.662,8,0
2025-08-17T15:00:00,WTP-01,24.7136,46.6753,23.41,7.17,676.4,7.45,1.7,5.483,0.204,0.052,212.3,0.678,1,0
2025-08-17T18:00:00,WTP-01,24.7136,46.6753,22.57,7.29,645.8,7.62,1.54,6.93,0.204,0.055,269.5,0.7,5,0
2025-08-17T21:00:00,WTP-01,24.7136,46.6753,21.79,7.17,709.0,7.47,2.03,6.184,0.355,0.028,274.4,0.678,2,0
2025-08-18T00:00:00,WTP-01,24.7136,46.6753,24.85,7.16,736.8,7.41,1.57,6.441,0.252,0.084,237.5,0.468,2,0
2025-08-18T03:00:00,WTP-01,24.7136,46.6753,26.99,7.1,668.1,6.74,1.46,5.464,0.24,0.05,271.7,0.873,6,0
2025-08-18T06:00:00,WTP-01,24.7136,46.6753,27.9,7.23,658.5,6.92,1.81,5.363,0.304,0.05,288.0,0.449,3,0
2025-08-18T09:00:00,WTP-01,24.7136,46.6753,27.62,7.19,680.9,8.12,2.05,5.566,0.257,0.038,235.8,0.379,2,0
2025-08-18T12:00:00,WTP-01,24.7136,46.6753,24.87,7.15,644.7,7.54,1.37,5.48,0.258,0.059,228.2,0.602,4,0
2025-08-18T15:00:00,WTP-01,24.7136,46.6753,23.0,7.24,665.3,7.96,1.54,5.404,0.165,0.037,303.6,0.673,1,0
2025-08-18T18:00:00,WTP-01,24.7136,46.6753,22.58,7.22,624.2,8.59,0.78,6.735,0.3,0.037,277.8,0.626,6,0
2025-08-18T21:00:00,WTP-01,24.7136,46.6753,21.79,7.17,576.6,8.23,2.45,6.624,0.201,0.08,244.9,0.557,2,0
2025-08-19T00:00:00,WTP-01,24.7136,46.6753,25.79,7.27,627.5,7.4,0.49,5.355,0.298,0.082,225.3,0.628,4,0
2025-08-19T03:00:00,WTP-01,24.7136,46.6753,27.09,7.14,650.2,7.12,1.94,6.327,0.195,0.043,213.9,0.623,4,0
2025-08-19T06:00:00,WTP-01,24.7136,46.6753,28.7,7.22,645.7,7.52,1.06,5.099,0.19,0.053,284.7,0.65,7,0
2025-08-19T09:00:00,WTP-01,24.7136,46.6753,26.48,7.16,599.5,6.93,1.54,6.395,0.298,0.014,246.6,0.833,4,0
2025-08-19T12:00:00,WTP-01,24.7136,46.6753,25.66,7.3,600.8,7.75,1.22,5.915,0.382,0.02,255.1,0.61,10,0
2025-08-19T15:00:00,WTP-01,24.7136,46.6753,22.66,7.21,623.4,8.08,1.43,5.062,0.249,0.058,255.1,0.516,1,0
2025-08-19T18:00:00,WTP-01,24.7136,46.6753,21.64,7.27,564.6,9.27,2.13,6.179,0.247,0.056,260.4,0.609,7,0
2025-08-19T21:00:00,WTP-01,24.7136,46.6753,23.58,7.19,644.6,8.14,2.9,6.154,0.348,0.045,269.0,0.525,3,0
2025-08-20T00:00:00,WTP-01,24.7136,46.6753,24.62,7.24,688.1,7.76,1.94,6.413,0.218,0.059,266.0,0.671,11,0
2025-08-20T03:00:00,WTP-01,24.7136,46.6753,26.66,7.21,617.2,7.35,1.02,4.694,0.24,0.039,252.1,0.661,5,0
2025-08-20T06:00:00,WTP-01,24.7136,46.6753,28.0,7.16,676.4,7.77,1.04,5.39,0.212,0.031,266.6,0.4,4,0
2025-08-20T09:00:00,WTP-01,24.7136,46.6753,27.17,7.2,583.9,7.96,0.99,6.268,0.25,0.07,293.7,0.619,3,0
2025-08-20T12:00:00,WTP-01,24.7136,46.6753,25.48,7.15,669.1,7.75,2.14,8.208,0.27,0.04,249.5,0.559,3,0
2025-08-20T15:00:00,WTP-01,24.7136,46.6753,22.5,7.2,688.2,7.12,0.98,6.9,0.236,0.034,264.6,0.534,10,0
2025-08-20T18:00:00,WTP-01,24.7136,46.6753,22.51,7.19,665.6,7.65,1.66,5.534,0.128,0.047,278.5,0.724,9,0
2025-08-20T21:00:00,WTP-01,24.7136,46.6753,22.25,7.25,658.1,7.5,1.24,6.112,0.27,0.048,193.3,0.579,1,0
2025-08-21T00:00:00,WTP-01,24.7136,46.6753,24.7,7.19,631.9,8.23,1.7,6.24,0.281,0.027,270.8,0.493,7,0
2025-08-21T03:00:00,WTP-01,24.7136,46.6753,26.68,7.18,701.0,7.76,2.65,4.905,0.327,0.035,253.8,0.459,2,0
2025-08-21T06:00:00,WTP-01,24.7136,46.6753,28.02,7.15,679.6,7.04,1.86,5.205,0.122,0.046,298.3,0.574,4,0
2025-08-21T09:00:00,WTP-01,24.7136,46.6753,28.33,7.21,692.1,7.0,1.57,7.238,0.238,0.054,269.6,0.626,1,0
2025-08-21T12:00:00,WTP-01,24.7136,46.6753,25.1,7.2,656.9,7.62,1.37,7.192,0.17,0.033,247.9,0.766,4,0
2025-08-21T15:00:00,WTP-01,24.7136,46.6753,23.2,7.2,641.8,7.32,1.1,5.522,0.267,0.03,257.9,0.563,6,0
2025-08-21T18:00:00,WTP-01,24.7136,46.6753,22.95,7.15,617.6,7.07,1.36,6.373,0.299,0.048,243.6,0.809,2,0
2025-08-21T21:00:00,WTP-01,24.7136,46.6753,22.9,7.23,650.2,6.83,1.18,6.18,0.292,0.038,293.8,0.592,3,0
2025-08-22T00:00:00,WTP-01,24.7136,46.6753,24.15,7.19,632.8,7.79,0.54,6.37,0.351,0.023,253.8,0.602,6,0
2025-08-22T03:00:00,WTP-01,24.7136,46.6753,27.07,7.14,611.5,7.77,2.84,6.94,0.262,0.026,249.9,0.579,7,0
2025-08-22T06:00:00,WTP-01,24.7136,46.6753,27.25,7.23,685.3,7.07,1.72,6.213,0.228,0.049,292.0,0.535,3,0
2025-08-22T09:00:00,WTP-01,24.7136,46.6753,26.31,7.12,659.9,7.43,1.56,6.47,0.31,0.038,258.1,0.476,13,0
2025-08-22T12:00:00,WTP-01,24.7136,46.6753,25.01,7.15,633.7,7.84,1.56,6.468,0.349,0.019,282.3,0.467,2,0
2025-08-22T15:00:00,WTP-01,24.7136,46.6753,23.73,7.18,635.6,5.91,1.75,4.94,0.222,0.029,242.7,0.671,4,0
2025-08-22T18:00:00,WTP-01,24.7136,46.6753,22.26,7.22,699.4,7.16,1.91,6.954,0.161,0.056,239.9,0.551,6,0
2025-08-22T21:00:00,WTP-01,24.7136,46.6753,23.29,7.07,620.7,7.13,0.88,5.401,0.311,0.066,245.0,0.48,2,0
2025-08-23T00:00:00,WTP-01,24.7136,46.6753,24.72,7.22,681.3,7.37,1.14,7.138,0.337,0.07,251.7,0.652,2,0
2025-08-23T03:00:00,WTP-01,24.7136,46.6753,27.46,7.21,586.5,7.76,2.58,6.643,0.252,0.031,203.8,0.7,10,0
2025-08-23T06:00:00,WTP-01,24.7136,46.6753,28.14,7.22,676.6,7.51,2.5,5.506,0.222,0.028,258.8,0.767,6,0
2025-08-23T09:00:00,WTP-01,24.7136,46.6753,25.69,7.2,668.2,7.09,1.07,7.156,0.247,0.059,265.5,0.732,5,0
2025-08-23T12:00:00,WTP-01,24.7136,46.6753,25.0,7.17,678.0,7.71,1.8,5.579,0.142,0.072,240.4,0.561,8,0
2025-08-23T15:00:00,WTP-01,24.7136,46.6753,22.49,7.24,694.5,8.61,1.54,5.488,0.2,0.028,275.0,0.513,11,0
2025-08-23T18:00:00,WTP-01,24.7136,46.6753,21.68,7.11,605.3,8.32,1.41,5.561,0.258,0.06,272.3,0.467,3,0
2025-08-23T21:00:00,WTP-01,24.7136,46.6753,22.7,7.17,629.7,6.81,0.7,6.062,0.326,0.038,237.1,0.434,2,0
2025-08-24T00:00:00,WTP-01,24.7136,46.6753,24.95,7.13,613.1,7.0,1.62,6.055,0.214,0.054,239.1,0.734,15,0
2025-08-24T03:00:00,WTP-01,24.7136,46.6753,27.84,7.25,587.0,7.82,2.39,4.771,0.239,0.056,283.3,0.77,2,0
2025-08-24T06:00:00,WTP-01,24.7136,46.6753,27.08,7.23,672.9,7.27,2.67,5.733,0.278,0.03,249.5,0.563,5,0
2025-08-24T09:00:00,WTP-01,24.7136,46.6753,26.16,7.18,717.1,7.11,1.51,5.931,0.328,0.076,266.2,0.657,6,0
